Time,Missile_X,Missile_Y,Missile_Z,Missile_Vx,Missile_Vy,Missile_Vz,Missile_phi,Missile_theta,Missile_psi,Missile_p,Missile_q,Missile_r,Target_X,Target_Y,Target_Z,Target_Vx,Target_Vy,Target_Vz,Target_phi,Target_theta,Target_psi,Target_p,Target_q,Target_r,Az,El,R
0,-7.44425673692223e-16,0,-10,25,0,-43.3012701892219,0,1.19453239863935,0,0,0.509680988635387,0,3000,0,-500,-30,0,-3.67394039744206e-15,0,0,3.14159265358979,0,0,0,0,-1.03262870713068,3039.753279462
0.00833333333333333,0.210321172246607,0,-10.3661065428463,25.480526780467,0,-44.5613446730809,0,1.18922470134851,0,0,0.46718841745872,0,2999.75,0,-500,-30,0,-3.67394039744206e-15,0,0,3.14159265358979,0,0,0,0,-1.02741549587561,3039.24000110717
0.0166666666666667,0.424770296710088,0,-10.7426722235887,25.9658255180768,0,-45.8199433321993,0,1.18470620408552,0,0,0.429381376363151,0,2999.5,0,-500,-30,0,-3.67394039744206e-15,0,0,3.14159265358979,0,0,0,0,-1.02299469354418,3038.72098854427
0.025,0.643357307704695,0,-11.1296949103319,26.4555359874057,0,-47.0771889301988,0,1.18091632640404,0,0,0.395939073194838,0,2999.25,0,-500,-30,0,-3.67394039744206e-15,0,0,3.14159265358979,0,0,0,0,-1.01930572103564,3038.19623603747
0.0333333333333333,0.866092139544683,0,-11.5271724711807,26.9492979630296,0,-48.3332042307011,0,1.17779448785769,0,0,0.366540715799942,0,2999,0,-500,-30,0,-3.67394039744206e-15,0,0,3.14159265358979,0,0,0,0,-1.01628799924926,3037.66573785093
0.0416666666666667,1.09298472654431,0,-11.9351027742399,27.4467512195249,0,-49.5881119973282,0,1.17528010800013,0,0,0.340865512024621,0,2998.75,0,-500,-30,0,-3.67394039744206e-15,0,0,3.14159265358979,0,0,0,0,-1.01388094908429,3037.12948824883
0.05,1.32404500301782,0,-12.3534836876143,27.9475355314675,0,-50.8420349937018,0,1.17331260638499,0,0,0.318592669715036,0,2998.5,0,-500,-30,0,-3.67394039744206e-15,0,0,3.14159265358979,0,0,0,0,-1.01202399143998,3036.58748149532
0.0583333333333333,1.55928290327948,0,-12.7823130794088,28.4512906734337,0,-52.0950959834436,0,1.17183140256591,0,0,0.299401396717345,0,2998.25,0,-500,-30,0,-3.67394039744206e-15,0,0,3.14159265358979,0,0,0,0,-1.01065654721561,3036.03971185458
0.0666666666666667,1.79870836164353,0,-13.221588817728,28.9576564199996,0,-53.3474177301754,0,1.17077591609654,0,0,0.282970900877709,0,2998,0,-500,-30,0,-3.67394039744206e-15,0,0,3.14159265358979,0,0,0,0,-1.00971803731043,3035.48617359077
0.075,2.04233131242424,0,-13.6713087706768,29.4662725457412,0,-54.5991229975191,0,1.17008556653052,0,0,0.268980390042286,0,2997.75,0,-500,-30,0,-3.67394039744206e-15,0,0,3.14159265358979,0,0,0,0,-1.00914788262369,3034.92686096806
0.0833333333333333,2.29016168993586,0,-14.1314708063601,29.9767788252348,0,-55.8503345490963,0,1.16969977342149,0,0,0.257109072057236,0,2997.5,0,-500,-30,0,-3.67394039744206e-15,0,0,3.14159265358979,0,0,0,0,-1.00888550405466,3034.36176825062
0.0916666666666667,2.54220942849264,0,-14.6020727928825,30.4888150330565,0,-57.1011751485288,0,1.1695579563231,0,0,0.247036154768719,0,2997.25,0,-500,-30,0,-3.67394039744206e-15,0,0,3.14159265358979,0,0,0,0,-1.0088703225026,3033.79088970261
0.1,2.79848446240883,0,-15.083112598349,31.0020209437824,0,-58.3517675594385,0,1.16959953478897,0,0,0.238440846022893,0,2997,0,-500,-30,0,-3.67394039744206e-15,0,0,3.14159265358979,0,0,0,0,-1.00904175886676,3033.2142195882
0.108333333333333,3.0589967259987,0,-15.5745880908642,31.5160363319886,0,-59.6022345454471,0,1.16976392837276,0,0,0.231002353665919,0,2996.75,0,-500,-30,0,-3.67394039744206e-15,0,0,3.14159265358979,0,0,0,0,-1.0093392340464,3032.63175217156
0.116666666666667,3.32375615357649,0,-16.0764971385331,32.0305009722514,0,-60.8526988701764,0,1.16999055662811,0,0,0.224399885543955,0,2996.5,0,-500,-30,0,-3.67394039744206e-15,0,0,3.14159265358979,0,0,0,0,-1.00970216894079,3032.04348171686
0.125,3.59277267945645,0,-16.5888376094603,32.5450546391467,0,-62.1032832972482,0,1.17021883910866,0,0,0.218312649503162,0,2996.25,0,-500,-30,0,-3.67394039744206e-15,0,0,3.14159265358979,0,0,0,0,-1.01006998444917,3031.44940248826
0.133333333333333,3.86605623795286,0,-17.1116073717507,33.0593371072508,0,-63.3541105902842,0,1.17038819536805,0,0,0.212419853389698,0,2996,0,-500,-30,0,-3.67394039744206e-15,0,0,3.14159265358979,0,0,0,0,-1.01038210147082,3030.84950874993
0.141666666666667,4.14361676336383,0,-17.6448042935101,33.5729881529991,0,-64.6053035121449,0,1.17043804512948,0,0,0.206400705984354,0,2995.75,0,-500,-30,0,-3.67394039744206e-15,0,0,3.14159265358979,0,0,0,0,-1.01057794107454,3030.24379476605
0.15,4.42546304946174,0,-18.1884263121606,34.0857791409398,0,-65.8569309502034,0,1.17031980740317,0,0,0.200000560556102,0,2995.5,0,-500,-30,0,-3.67394039744206e-15,0,0,3.14159265358979,0,0,0,0,-1.01060892377469,3029.63225609598
0.158333333333333,4.71159965446864,0,-18.7424716225432,34.5979701120553,0,-67.1088617153925,0,1.17002946273832,0,0,0.193210409983711,0,2995.25,0,-500,-30,0,-3.67394039744206e-15,0,0,3.14159265358979,0,0,0,0,-1.01047103221326,3029.0148931089
